lemma,upos,lexical_class
вывод,NOUN,general
выводить,VERB,specialized
вывоз,NOUN,everyday
выглядеть,VERB,general
выговориться,VERB,everyday
выгода,NOUN,specialized
выгодный,ADJ,general
выгонять,VERB,everyday
выгорание,NOUN,general
выгореть,VERB,everyday
выготский,PROPN,specialized
выгулять,VERB,everyday
выдавать,VERB,general
выдать,VERB,general
выдача,NOUN,everyday
выдвигать,VERB,specialized
выделить,VERB,general
выделиться,VERB,general
выделять,VERB,specialized
выдержать,VERB,everyday
выдерживать,VERB,specialized
выдохнуть,VERB,everyday
выдра,NOUN,everyday
выдумка,NOUN,everyday
выдумывать,VERB,everyday
выдыхать,VERB,everyday
выезд,NOUN,everyday
выезжать,VERB,everyday
выехать,VERB,everyday
вызвать,VERB,general
вызывать,VERB,general
выиграть,VERB,everyday
выигрывать,VERB,general
выйти,VERB,general
выкладывать,VERB,everyday
выключатель,NOUN,everyday
выключать,VERB,general
выключить,VERB,everyday
вылавливать,VERB,everyday
вылет,NOUN,everyday
вылететь,VERB,general
вылиться,VERB,everyday
выложить,VERB,everyday
вымысел,NOUN,specialized
вымыслить,VERB,general
вымышленный,ADJ,general
вынести,VERB,general
вынимать,VERB,general
вынос,NOUN,everyday
выносить,VERB,everyday
вынудить,VERB,general
вынужденно,ADV,specialized
вынужденный,ADJ,everyday
выпадать,VERB,specialized
выпасть,VERB,everyday
выпекать,VERB,everyday
выписать,VERB,general
выписка,NOUN,general
выпить,VERB,everyday
выплата,NOUN,general
выплатить,VERB,general
выплачивать,VERB,general
выплачиваться,VERB,general
выплеснуться,VERB,general
выполнить,VERB,general
выполнять,VERB,general
выпуск,NOUN,general
выпускать,VERB,general
выпускник,NOUN,general
выпускной,ADJ,everyday
выпустить,VERB,general
вырабатывать,VERB,specialized
выработать,VERB,general
выражать,VERB,general
выражение,NOUN,general
выразительность,NOUN,specialized
выразить,VERB,general
вырастать,VERB,general
вырасти,VERB,general
вырастить,VERB,everyday
выращивание,NOUN,general
выращивать,VERB,everyday
вырезать,VERB,everyday
выровняться,VERB,everyday
выронить,VERB,everyday
выручать,VERB,general
выручить,VERB,general
выручка,NOUN,general
вырываться,VERB,specialized
вырыть,VERB,general
высказывание,NOUN,general
высказывать,VERB,specialized
высказываться,VERB,general
выскочить,VERB,general
высокий,ADJ,general
высоко,ADV,everyday
высоковольтный,ADJ,specialized
высокогорный,ADJ,specialized
высококвалифицированный,ADJ,specialized
высокомерный,ADJ,everyday
высота,NOUN,everyday
высохнуть,VERB,general
выставить,VERB,everyday
выставка,NOUN,general
выставлять,VERB,specialized
выставочный,ADJ,specialized
выстраивать,VERB,specialized
выстраиваться,VERB,everyday
выстроить,VERB,specialized
выстроиться,VERB,everyday
выступ,NOUN,specialized
выступать,VERB,general
выступить,VERB,general
выступление,NOUN,everyday
высший,ADJ,general
высыпать,VERB,everyday
высыпаться,VERB,general
вытащить,VERB,general
вытеснить,VERB,general
вытянуть,VERB,everyday
выучить,VERB,general
выхлоп,NOUN,general
выхлопной,ADJ,general
выход,NOUN,everyday
выходить,VERB,general
выходной,ADJ,everyday
выходной,NOUN,everyday
вычерпывать,VERB,everyday
